column_label,STNAME,AGENCY,POP,GROUP,total_arrests_race_data,total_White_arrests,total_African_American_arrests,total_violent_arrests,total_marijuana_possession_arrests_race_data,total_White_marijuana_possession_arrests,total_African_American_marijuana_possession_arrests,total_marijuana_possession_and_sale_arrests_race_data,total_White_marijuana_possession_and_sale_arrests,total_African_American_marijuana_possession_and_sale_arrests,total_non_violent_non_drug_misdemeanor_arrests_race_data,total_White_non_drug_misdemeanor_arrests,total_African_American_non_drug_misdemeanor_arrests
UCR_2016,MICH,DETROIT,669673,1B,13842,1637,12176,5102,612,34,576,722,42,678,576,64,509
UCR_2016,MINN,MINNEAPOLIS,416751,1C,14165,4594,8293,4778,419,126,284,431,126,296,2282,728,1360
UCR_2016,MINN,ST. PAUL,303920,1C,10426,3299,5498,3349,218,51,143,231,53,153,800,187,548
UCR_2016,MO,KANSAS CITY,478364,1C,12611,5155,7395,4720,764,241,520,782,243,536,1110,435,668
UCR_2016,MO,ST. LOUIS,314507,1C,25184,7274,17838,5569,173,31,142,178,32,146,4401,1497,2886
UCR_2016,N C,CHARLOTTE-MECKLENBURG,896379,1B,29944,8748,20879,11102,1853,505,1331,2044,544,1482,854,225,615
UCR_2016,N C,GREENSBORO,288618,1C,13332,3820,9346,4400,544,128,411,637,147,482,715,191,512
UCR_2016,N J,NEWARK,281450,1C,12968,3499,9434,2144,414,97,316,560,117,442,664,188,472
UCR_2016,N MEX,ALBUQUERQUE,561560,1B,22015,17886,1637,10862,45,40,2,53,46,4,1177,940,75
UCR_2016,N Y,BUFFALO,257446,1C,12347,5012,7158,4730,143,39,100,143,39,100,975,404,552
UCR_2016,NEBR,LINCOLN,281138,1C,18079,13452,4042,4150,1342,984,329,1395,1026,340,2121,1545,493
UCR_2016,NEV,HENDERSON,291584,1C,11713,8926,2431,2971,404,298,89,404,298,89,204,166,35
UCR_2016,NEV,LAS VEGAS METRO PD,1592178,1A,84512,49705,31582,18914,3287,1511,1703,3799,1697,2016,3963,2605,1218
UCR_2016,OHIO,CLEVELAND,386227,1C,5147,1456,3680,2260,97,16,80,109,18,90,177,48,126
UCR_2016,OHIO,COLUMBUS,862515,1B,11241,5076,6097,2857,252,61,190,261,61,199,579,307,264
